nomeEntidade,numeroProcesso,anoProcesso,numeroLicitacao,anoLicitacao,dataPublicacao,objeto,modalidade,tipoObjeto,formaJulgamento,dataHomologacao,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",8,2023,8,2023,2023-06-22,"Locação de espaço físico da piscina coberta e aquecida para realização de projetos esportivos e sociais, além de 3 (três) unidades de vestiários e arquibancada, localizada na sede da Associação Brasileira de Educação e Cultura – ABEC, mantenedora do Colégio Marista, estabelecido na rua Antônio de Lucca nº 334 – bairro Pio Correa – Município de Criciúma - SC.","Dispensa de licitação","Compras e Serviços","MENOR PRECO",2023-06-21,HOMOLOGADO," "," "," ","contratos_7bd4ee43-1253-4773-b7b6-a45e489629c6.csv",2023-06-21T08:00:00Z," ",2023-05-31,2023-06-21," "," ","documentosRelacionados_e6770aff-4cec-44c2-9f8e-0ebfed993993.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,Licitação,2023-06-21T08:00:00Z,"itensVencedores_e52dfa5d-24c8-4424-a60f-30672db3d689.csv",INTERNET,,," ","participantes_102a1edc-6e70-468b-b724-cca05a6c8483.csv",NÃO," ",2023-06-21T08:00:00Z,"Lei 8666/1993, Art. 17, I.a"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",10,2023,10,2023,2023-12-20,"Contratação da ASSOCIAÇÃO DESPORTIVA CRICIÚMA – AD CRICIÚMA – organização social de promoção do desenvolvimento social e do desporto, em toda a sua abrangência, sem fins lucrativos, inscrita no CNPJ sob o nº 05.554.507/0001-00, estabelecida na Avenida Santos Dumont, s/nº, Ginásio Municipal de Esportes Valmir Antônio Orsi, Bairro São Luiz, Criciúma/SC, CEP 88804-050 e qualificada como organização social Decreto SG nº 068/18, de 31 de janeiro de 2018, através de dispensa de licitação, nos termos d","Dispensa de licitação","Prestação de serviços","MENOR PRECO",2023-12-20,HOMOLOGADO," "," "," ","contratos_5ed7e567-2b91-438f-a7bd-e0fa172746d6.csv",2023-12-20T08:00:00Z," ",2023-12-20,2023-12-20," "," ","documentosRelacionados_f72da19f-a3ff-4bea-9b59-7764c690cc96.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,Licitação,2023-12-20T08:00:00Z,"itensVencedores_c8b4a9b6-47f7-4b46-99e3-7b2ed321f523.csv",DIARIO_OFICIAL_MUNICIPIO," "," "," ","participantes_ef2e21ed-80bc-4781-9515-ddc800efc00c.csv",NÃO," ",2023-12-20T08:00:00Z,"Lei 8666/1993, Art. 17, I.a"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",9,2023,9,2023," ","Contratação de empresa para realização do evento STU National 2024 – etapa Santa Catarina, nas modalidades olímpicas de skate Park e Street a ser realizado no Município de Criciúma - SC.","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO GLOBAL",2023-12-14,HOMOLOGADO," "," "," "," ",2023-12-14T08:00:00Z," ",2023-12-14,2023-12-14," "," ","documentosRelacionados_cf531c28-556c-43da-b54d-1a3c83db03c7.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,Licitação,2023-12-14T08:00:00Z,"itensVencedores_f5b08fc7-907f-4e60-8481-a5928916ac4c.csv"," ",,," ","participantes_59daa4fa-d1bc-4888-afd1-98c3cb99757d.csv",NÃO," ",2023-12-14T08:00:00Z,"Lei 8666/1993, Art. 15, CAPUT"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",7,2023,7,2023," ","Operacionalização da gestão e execução, das atividades e serviços para fomentar e executar práticas desportivas no município de criciúma, para atendimento de até 8.000 (oito mil) pessoas, de diversas faixas etárias.","Dispensa de licitação","Compras e Serviços","MENOR PRECO",2023-06-15,HOMOLOGADO," "," "," ","contratos_d864911f-9d5c-4646-b985-096baa72dcd7.csv",2023-06-15T08:00:00Z," ",2023-05-02,2023-06-15," "," ","documentosRelacionados_c6f31306-52ed-4466-ac4f-f820f0baf8a2.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,Licitação,2023-06-15T08:00:00Z,"itensVencedores_600fb203-f20b-4af4-ad27-cd639c19aaf7.csv"," ",,," ","participantes_77ab4e28-7d33-4157-9c2c-2a1442d5735c.csv",NÃO," ",2023-06-15T08:00:00Z,"Lei 8666/1993, Art. 17, I.a"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",1,2023,1,2023," ","Inexigibilidade de licitação, pra contratação da empresa DC10 Economia Criativa Eireli, detentora da marca Skate Total Urbe (STU), para realização do evento STU National - Etapa Santa Catarina 2023 nas modalidades olímpicas de skate Park e Street, que acontecerá entre os dias 23 de fevereiro e 05 de março de 2023, no Parque Centenário - Prefeito Altair Guidi, no município de Criciúma/SC.","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO",2023-01-17,HOMOLOGADO," "," "," "," ",2023-01-17T08:00:00Z," ",2023-01-11,2023-01-17," "," ","documentosRelacionados_1220229b-9b8c-49ca-b93f-93f741689b43.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Inexigibilidade de licitação",2023-01-11T08:00:00Z,"itensVencedores_af136efe-0483-40e7-adcb-1349f06f96ae.csv"," ",,," ","participantes_8acd4dc6-5c7f-4d94-81b8-f8d8851a3ea1.csv",NÃO," ",2023-01-17T08:00:00Z,"Lei 8666/1993, Art. 15, CAPUT"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",3,2023,3,2023," ","Serviços de assessoria jurídica, consultoria jurídica, orientação jurídica em direito administrativo e público, elaboração de pareceres, editais, resoluções, portarias, contratos, termos, projetos de lei e os diversos procedimentos administrativos concernentes à rotina jurídica da administração pública do órgão contratante, bem da representação judicial e administrativa da Fundação Municipal de Esportes de Criciúma perante diversos órgãos e pessoas no âmbito jurídico.","Inexigibilidade de licitação",Compras,"MENOR PRECO",2023-03-14,HOMOLOGADO," "," "," ","contratos_e05bb2d0-2925-4f74-97eb-2ecbd4f1ad34.csv",2023-03-14T08:00:00Z," ",2023-02-01,2023-03-14," "," ","documentosRelacionados_344ddd4e-0791-4f71-ae7f-4a913cc0b6ef.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Inexigibilidade de licitação",2023-03-14T08:00:00Z,"itensVencedores_7e9d44b3-f1d6-4697-874c-2dcbefa017d6.csv"," ",,," ","participantes_24dce0da-8937-406a-b47d-02765c024928.csv",NÃO," ",2023-03-14T08:00:00Z,"Lei 8666/1993, Art. 15, CAPUT"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",2,2023,2,2023," ","Contratação de empresa especializada em recargas de créditos eletrônicos no sistema de bilhetagem eletrônica do sistema integrado de transporte coletivo de Criciúma, que serão distribuídos aos atletas de diversas modalidades esportivas dentro do Município de Criciúma/SC.","Inexigibilidade de licitação",Compras,"MENOR PRECO GLOBAL",2023-02-24,HOMOLOGADO," "," "," ","contratos_905c2dd5-b881-4aee-8117-5a191e682fbd.csv",2023-02-24T08:00:00Z," ",2023-02-10,2023-02-24," "," ","documentosRelacionados_a460a3f1-9309-469a-8bef-d8ad9fa0b843.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Inexigibilidade de licitação",2023-02-24T08:00:00Z,"itensVencedores_2f78c720-7b26-49c5-887d-1b7669d5af39.csv"," ",,," ","participantes_40abb881-1afe-44f0-b60d-617997820037.csv",NÃO," ",2023-02-24T08:00:00Z,"Lei 8666/1993, Art. 15, CAPUT"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",286,2023,286,2023," ","Contratação de serviços técnicos especializados na na elaboração, SOB DEMANDA, de serviços técnicos de engenharia, confecção de planilhas e cronogramas físicos-financeiros adjuntos aos projetos para obras gerais e serviços complementares conforme especificações e necessidades do município de Criciúma - SC.","Dispensa de licitação","Compras e Serviços","MENOR PRECO GLOBAL",2023-11-22,HOMOLOGADO," "," "," ","contratos_105fcaef-7fb5-4f36-8a77-1acb832e0118.csv",2023-11-22T08:00:00Z," ",2023-11-08,2023-11-22," "," ","documentosRelacionados_b5f51c71-34db-4927-9783-d0b7898db74e.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2023-11-22T08:00:00Z,"itensVencedores_1420734f-b863-414c-9160-1561697e2732.csv"," "," "," "," ","participantes_5360f506-655b-4d83-be41-19c845fe305b.csv",NÃO," ",2023-11-22T08:00:00Z,"Lei 8666/1993, Art. 17, I.a",6519463.56,6519463.56
"PREFEITURA MUNICIPAL DE CRICIUMA",106,2023,106,2023," ","Contratação de empresa especializada para realizar assessorias pedagógicas para os professores que lecionam no ensino fundamental anos iniciais, da Rede Municipal de Ensino, com o intuito de recompor o conhecimento matemático desses profissionais e restabelecer modos de organização do ensino  promovam a construção do conhecimento matemático (letramento matemático) das crianças e resultem na melhoria do desempenho dos estudantes no Índice de Desenvolvimento da Educação Básica (IDEB).","Dispensa de licitação",Compras,"MENOR PRECO",2023-04-28,HOMOLOGADO," "," "," "," ",2023-04-28T08:00:00Z," ",2023-04-04,2023-04-28," "," ","documentosRelacionados_a2fb12ae-d160-45df-a9a7-6fb0d5e2d7f1.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Dispensa de licitação",2023-04-28T08:00:00Z,"itensVencedores_8bb839f8-02ba-4215-9308-0b1dfd32f9f2.csv"," ",,," ","participantes_50ddd57a-d4c6-411f-86b8-60baf178d71c.csv",NÃO," ",2023-04-28T08:00:00Z,"Lei 8666/1993, Art. 17, I.a"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",8,2023,8,2023," ","Contratação de empresa para produção de esculturas personalizadas para a sala Maker no parque astronômico, em atendimento as Secretaria Municipal de Educação de Criciúma","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO",2023-01-19,HOMOLOGADO," "," "," ","contratos_610ba00f-1362-4844-afc5-b573d3bbc083.csv",2023-01-19T08:00:00Z," ",2022-12-20,2023-01-19," "," ","documentosRelacionados_2fef4aba-5338-4dda-b481-c4574ed111fd.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Inexigibilidade de licitação",2022-12-20T08:00:00Z,"itensVencedores_859abfda-c68d-4e52-9814-4cd11f920327.csv"," ",,," ","participantes_4ac6ce47-bdff-4eb1-86eb-75244ed72649.csv",NÃO," ",2023-01-19T08:00:00Z,"Lei 8666/1993, Art. 15, CAPUT"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",10,2023,10,2023," ","Contratação de empresa para fornecimento, de forma parcelada, de água mineral, para as dependências da DELEGACIA REGIONAL DE POLÍCIA – 6ª CIRETRAN de Criciúma/SC, para o exercício de 2023.","Dispensa de licitação","Compras e Serviços","MENOR PRECO GLOBAL",2023-01-20,HOMOLOGADO," "," "," "," ",2023-01-20T08:00:00Z," ",2023-01-20,2023-01-20," "," ","documentosRelacionados_a98cf257-533b-47e7-984d-8fa22f5b9b9c.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Dispensa de licitação",2023-01-20T08:00:00Z,"itensVencedores_57dba7d0-6df0-4c4b-aaf2-5966dff5ce0b.csv"," ",,," ","participantes_66957d3d-7811-43b5-80dc-b647dd7d3008.csv",NÃO," ",2023-01-20T08:00:00Z,"Lei 8666/1993, Art. 17, I.a"," "," "
