nomeEntidade,numeroProcesso,anoProcesso,numeroLicitacao,anoLicitacao,objeto,modalidade,dataPublicacao,tipoObjeto,formaJulgamento,dataHomologacao,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA",1,2025,1,2025,"Contratação de empresa prestadora de serviços de assessoria referente a planejamento, consultoria, gestão, acompanhamento, e prestação de contas para implementação e aplicação da Lei Complementar 14.399/2022, Política Nacional Aldir Blanc de Fomento à Cultura e demais editais para o Município de Criciúma através do Fundo Municipal de Incentivo Cultural de Criciúma.","Pregão eletrônico",2025-10-13,"Contratação de Tecnologia da informação e de Comunicação","MENOR PRECO GLOBAL"," ","AGUARDANDO ABERTURA"," "," "," "," ",2025-10-24T09:00:00Z," ",2025-04-11,2025-10-24," "," ","documentosRelacionados_694c90c5-2377-4dbe-bab1-8a17f272d7ab.csv","contabilidade@criciuma.sc.gov.br"," ","Rua Cel Pedro Benedet","Rua Cel Pedro Benedet",SC,Licitação,2025-10-10T15:00:00Z," ",INTERNET," "," "," "," ",NÃO," ",2025-10-24T08:30:00Z,"Lei 14133/2021, Art. 28, I",71000," "
"PREFEITURA MUNICIPAL DE CRICIUMA",24,2025,24,2025,"Registro de preços de mobiliário escolar e corporativo, compreendendo fornecimento e instalação, em atendimento da Rede de Ensino do município de Criciúma/SC.","Pregão eletrônico",2025-03-17,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM"," ","AGUARDANDO ABERTURA"," "," "," "," ",2025-04-02T09:00:00Z," ",2025-02-04,2025-04-02," "," ","documentosRelacionados_d4e2a827-68da-4c14-9e99-90ad72b466ee.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-03-20T15:00:00Z," ",INTERNET," "," "," "," ",SIM," ",2025-04-02T08:30:00Z,"Lei 14133/2021, Art. 28, I",5489155.38," "
"PREFEITURA MUNICIPAL DE CRICIUMA",3,2025,3,2025,"Aquisição de Gêneros Alimentícios diretamente da Agricultura Familiar, Empreendedor Familiar Rural e suas organizações para a Alimentação Escolar em atendimento aos alunos das escolas da rede municipal de ensino e entidades filantrópicas conveniadas de Criciúma/SC, consoante ao Art.14 da Lei FNDE nº 11.947 de 16/06/2009 e Resolução FNDE nº 06/2020 e suas alterações.","Inexigibilidade de licitação"," ","aquisição de Bens para Compra, inclusive por Encom","CREDENCIAMENTO QTDADE RATEADA"," ",REVOGADO," "," "," "," ",2025-02-10T09:00:00Z," ",2025-01-07,2025-02-10,2025-02-05," ","documentosRelacionados_f30e9d56-20ef-4e51-8dce-8300a003cc56.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Chamada pública / credenciamento",2025-01-17T08:00:00Z," "," "," ","Razões de Interesse Público"," "," ",NÃO," ",2025-02-10T08:30:00Z,"Lei 14133/2021, Art. 74, II",1.131844899E7," "
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",13,2025,13,2025,"Contratação de empresa especializada no fornecimento e instalação de aparelhos de ar condicionados, em atendimento às necessidades da Central de Serviços Funerários de Criciúma/SC.","Dispensa eletrônica",2025-06-26,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-07-07,HOMOLOGADO," "," "," "," ",2025-07-03T09:00:00Z," ",2025-05-16,2025-07-03," "," ","documentosRelacionados_17b09b8c-694a-4fc6-887d-842b1fefdebd.csv",," ","Rua Domênico Sônego.","Rua Domênico Sônego.",SC,Licitação,2025-06-26T12:00:00Z,"itensVencedores_8d35817e-6360-4c27-82c6-1af9ab49ed31.csv",INTERNET," "," "," ","participantes_44aa2cc8-c4a7-48dc-8dea-aac1cbe8d355.csv",NÃO," ",2025-07-03T08:30:00Z,"Lei 14133/2021, Art. 75, I",17758,15598
"FUNDAÇÃO CULTURAL DE CRICIÚMA",5,2025,5,2025,"Constitui objeto do presente contrato a realização do espetáculo artístico com fornecimento de alimentos ""AMICI DELLA POLENTA – TOMBO DA POLENTA"", a ser realizado no dia 8 de novembro, na Praça Nereu Ramos, como parte das comemorações do centenário de emancipação de Criciúma/SC.","Inexigibilidade de licitação",2025-05-23,"Contratação de serviços","MENOR PRECO",2025-05-22,HOMOLOGADO," "," "," ","contratos_4d8e1ef4-e03d-4354-87ca-5dd3eea20fe7.csv",2025-05-22T08:00:00Z," ",2025-03-21,2025-05-22," "," ","documentosRelacionados_9bc69628-0ef7-45c4-b114-30ec90da0be0.csv",fcc@criciuma.sc.gov.br," ","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-05-22T08:00:00Z,"itensVencedores_c3034269-abda-405e-9325-968e2c215612.csv",INTERNET," "," "," ","participantes_f85b8e8c-2278-46bc-a555-36d5a79d2712.csv",NÃO," ",2025-05-22T08:00:00Z,"Lei 14133/2021, Art. 74, II",15000,15000
"FUNDAÇÃO CULTURAL DE CRICIÚMA",3,2025,3,2025,"Registro de preços de equipamentos eletroeletrônicos, para atender as necessidades dos eventos de pequeno porte de responsabilidade da Fundação Cultural e do Município de Criciúma/SC.","Pregão eletrônico",2025-05-21,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-07-16,HOMOLOGADO," ","atasRegistroPrecos_dfe6f689-f131-4ac7-8857-9041b18cc197.csv"," "," ",2025-06-04T14:00:00Z," ",2025-05-03,2025-06-04," ","despesas_7bfdd7e2-22bb-41e4-a6d8-8dcef34c82a6.csv","documentosRelacionados_ff4e2667-68b7-4d1d-9b38-58da4e1d706f.csv",fcc@criciuma.sc.gov.br,"empenhos_5d27b866-f69d-4856-b64f-bb8d273f8372.csv","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-05-21T12:00:00Z,"itensVencedores_821ee3ee-ff03-429e-8505-ecebedc69708.csv",INTERNET," "," "," ","participantes_b4b51bac-10da-4340-b2e5-266f9dee05f4.csv",SIM," ",2025-06-04T13:30:00Z,"Lei 14133/2021, Art. 28, I",107196,60084
"FUNDAÇÃO CULTURAL DE CRICIÚMA",4,2025,4,2025,"Registro de preços de serviços de Brigadista Civil, para atuação em eventos de responsabilidade da Fundação Cultural de Criciúma/SC.","Pregão eletrônico",2025-05-21,"Prestação de serviços","MENOR PRECO GLOBAL",2025-06-09,HOMOLOGADO," ","atasRegistroPrecos_ac9904c5-0205-4072-a644-6ebe61b6282c.csv"," "," ",2025-06-06T09:00:00Z," ",2025-04-25,2025-06-06," ","despesas_e8497c62-96e0-4d0e-acae-c0985928d699.csv","documentosRelacionados_47199e35-83ae-4e4f-bd57-7edf5ff9a9ee.csv",fcc@criciuma.sc.gov.br,"empenhos_a3786984-784c-4e5b-ac81-1e0a3a6eb6a0.csv","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-05-21T12:00:00Z,"itensVencedores_6ac4733a-f5d8-4e28-a9cb-3a168ae73ab9.csv",INTERNET," "," "," ","participantes_e585fbfe-01d6-4a0b-8daa-089c774c9cd9.csv",SIM," ",2025-06-06T08:30:00Z,"Lei 14133/2021, Art. 28, I",26600,21000
"FUNDAÇÃO CULTURAL DE CRICIÚMA",1,2025,1,2025,"Registro de preços de serviços de Brigadista Civil, para atuação em eventos de responsabilidade da Fundação Cultural de Criciúma/SC.","Pregão eletrônico",2025-04-02,"Prestação de serviços","MENOR PRECO GLOBAL"," ",REVOGADO," "," "," "," ",2025-04-17T09:00:00Z," ",2025-02-04,2025-04-17,2025-04-17," ","documentosRelacionados_14a9c9fc-99d3-49c9-aba7-cc924eb9c5c9.csv",fcc@criciuma.sc.gov.br," ","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-04-01T08:00:00Z," ",INTERNET," ","Licitação deserta"," "," ",SIM," ",2025-04-17T08:30:00Z,"Lei 14133/2021, Art. 28, I",26600," "
"FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",27,2025,27,2025,"Aquisição de motocicletas, categoria motoneta, destinadas a atender às demandas operacionais da Vigilância em Saúde, vinculada à Secretaria Municipal de Saúde do Município de Criciúma/SC.","Pregão eletrônico",2025-08-14,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM"," ",REVOGADO," "," "," "," ",2025-08-26T09:00:00Z," ",2025-06-01,2025-08-26,2025-08-27," ","documentosRelacionados_7e13d4db-9fe6-42f7-bf6e-f1ae4bc3ae02.csv",saude@criciuma.sc.gov.br," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-08-14T15:00:00Z," ",INTERNET," ","Licitação fracassada"," ","participantes_293ce7dc-994f-4e84-8704-04aed2a13a25.csv",NÃO," ",2025-08-26T08:30:00Z,"Lei 14133/2021, Art. 28, I",235800," "
"PREFEITURA MUNICIPAL DE CRICIUMA",10,2025,10,2025,"Contratação do palestrante e mediador Francisco Hebert Lima Vasconcelos, da empresa Formar soluções Educacionais Ltda, inscrita sob o CNPJ n° 49.738.171/0001-01, para a palestra de abertura do ano letivo e realização de workshops com gestores e equipe da Secretaria de Educação.","Inexigibilidade de licitação",2025-01-31,"Prestação de serviços","MENOR PRECO",2025-01-31,HOMOLOGADO," "," "," ","contratos_69f8676e-f1ec-4e75-b6c4-4643ca27c91f.csv",2025-01-31T08:00:00Z," ",2025-01-13,2025-01-31," "," ","documentosRelacionados_c3259843-7d67-4a60-a4ab-9f1c8e01da74.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-01-31T08:00:00Z,"itensVencedores_6e5263de-8afe-4c4c-9840-2f4118d91b02.csv",INTERNET," "," "," ","participantes_cc6eaa72-cc45-478d-b7da-d612765bc46e.csv",NÃO," ",2025-01-31T08:00:00Z,"Lei 14133/2021, Art. 74, II",85000,85000
