nomeEntidade,anoLicitacao,anoProcesso,numeroLicitacao,dataPublicacao,objeto,tipoObjeto,dataHomologacao,numeroProcesso,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,49,2025-04-24,"Serviços técnicos de informática através da Cessão de Direito de Uso do Sistema DetranNet, módulo Fiscalização, desenvolvido e instalado no ambiente DATACENTER do CIASC. Relativos ao acesso/cessão de informação do banco de dados do DETRAN/SC para a inserção e atualização das multas de trânsito de competência administrativa.","Contratação de Tecnologia da informação e de Comunicação",2025-04-24,49,HOMOLOGADO," "," "," ","contratos_96ff1835-a7dd-4fdf-93b2-8db4b561736a.csv",2025-04-24T08:00:00Z," ",2025-03-13,2025-04-24," "," ","documentosRelacionados_0a51a841-8fac-45ed-a427-85957622b5d1.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-04-24T08:00:00Z,"itensVencedores_876f24c8-fdaa-48b1-abd9-87d44477b830.csv",INTERNET," "," "," ","participantes_62b6e1dd-8f20-4a04-826a-ab6c7d940533.csv",NÃO," ",2025-04-24T08:00:00Z,"Lei 14133/2021, Art. 75, II",2138405.36,2138405.36
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,136,2025-10-01,"Contratação de instituição para prestação de serviços especializados de planejamento, organização e realização de processo seletivo para seleção, em caráter temporário, de agentes públicos para rede municipal de educação de Criciúma.","Prestação de serviços",2025-10-01,136,HOMOLOGADO," "," "," "," ",2025-10-01T08:00:00Z," ",2025-09-08,2025-10-01," "," ","documentosRelacionados_0ce07be6-8c47-4b28-a459-8f552812b61a.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-10-01T08:00:00Z,"itensVencedores_6b4e3c3b-4f87-43a2-894f-bfdcfaee5748.csv",INTERNET," "," "," ","participantes_df0ea369-fca6-4967-bc47-596cb205c91a.csv",NÃO," ",2025-10-01T08:00:00Z,"Lei 14133/2021, Art. 75, II",118500,118500
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,95,2025-07-21,"Ministração de 4 (quatro) cursos de qualificação profissional, voltados à capacitação de mão de obra para os munícipes de Criciúma/SC.","Prestação de serviços",2025-07-21,95,HOMOLOGADO," "," "," ","contratos_2a90b555-97e1-45a8-bdc3-47b454c98948.csv",2025-07-21T08:00:00Z," ",2025-07-21,2025-07-21," "," ","documentosRelacionados_6f347c03-e6cd-47b8-aad5-ee3561ea81dd.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-07-21T08:00:00Z,"itensVencedores_78cc021d-ecaa-4261-a0c1-c1a68b0fad5b.csv",INTERNET," "," "," ","participantes_42999fee-3356-4d37-a63a-cfc406cde17a.csv",NÃO," ",2025-07-21T08:00:00Z,"Lei 14133/2021, Art. 75, II",380000,380000
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,7,2025-01-16,"Prestação de serviços de Tecnologia da Informação e Comunicação - CIGA.","Prestação de serviços",2025-01-16,7,HOMOLOGADO," "," "," ","contratos_8cd03413-11fc-454b-b3a0-44e68fac10bf.csv",2025-01-16T09:00:00Z," ",2025-01-16,2025-01-16," "," ","documentosRelacionados_ba295a28-3032-4ced-8918-f329565850c6.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-01-16T08:00:00Z,"itensVencedores_3c6ad269-ad62-404d-b04a-07049ce15dcc.csv",INTERNET," "," "," ","participantes_482e9c2f-cd97-47bf-ba40-5aef3a2804f5.csv",NÃO," ",2025-01-16T08:30:00Z,"Lei 14133/2021, Art. 75, II",28625.4,28625.43
"FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",2025,2025,3,2025-02-10,"CONTRATAÇÃO EMERGENCIAL INTERNAÇÃO COMPULSORIA","Prestação de serviços",2025-02-10,3,HOMOLOGADO," "," "," ","contratos_54acb36f-a731-4618-82d7-bdb8356d2e4f.csv",2025-02-10T08:00:00Z," ",2025-01-22,2025-02-10," "," ","documentosRelacionados_08e9801d-d23e-40de-9659-f2631a6ac75a.csv",saude@criciuma.sc.gov.br," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-02-10T08:00:00Z,"itensVencedores_0a69a4cf-41c7-44f1-99b3-02cb4e7af54c.csv",INTERNET," "," "," ","participantes_c8edb295-d5bd-48eb-9648-dfa28f8912fe.csv",NÃO," ",2025-02-10T08:00:00Z,"Lei 14133/2021, Art. 75, II",102000,102000
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,120,2025-08-03,"Contratação de instituição para prestação de serviços especializados de planejamento, organização e realização de concurso público para seleção de professores da rede municipal de educação de Criciúma.","Prestação de serviços",2025-09-03,120,HOMOLOGADO," "," "," ","contratos_71285ead-0798-428e-8122-bd84ddf874b7.csv",2025-09-03T08:00:00Z," ",2025-07-15,2025-09-03," "," ","documentosRelacionados_2da054d3-4a4a-46fe-8498-653c730b8e56.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-09-03T08:00:00Z,"itensVencedores_5f7ba8cc-3b85-4658-9660-7c260e2d9b94.csv",INTERNET," "," "," ","participantes_6756380d-b2e9-4052-8b36-b6584aaec910.csv",NÃO," ",2025-09-03T08:00:00Z,"Lei 14133/2021, Art. 75, XV",44150,44150
"FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",2025,2025,41,2025-11-24,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA ORGANIZAÇÃO, ELABORAÇÃO, APLICAÇÃO E CORREÇÃO DE PROVAS OBJETIVAS DE PROCESSO SELETIVO PÚBLICO PARA PROVIMENTO DE FUNÇÕES PÚBLICAS PARA O FUNDO MUNICIPAL DE SAÚDE DE CRICIÚMA/SC.","Prestação de serviços",2025-11-21,41,HOMOLOGADO," "," "," "," ",2025-11-21T08:00:00Z," ",2025-11-21,2025-11-21," "," ","documentosRelacionados_423f7414-bc6c-4610-a6f6-5539a8f03e61.csv",saude@criciuma.sc.gov.br," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-11-21T08:00:00Z,"itensVencedores_dcaf84c4-9094-411a-94a7-bc8425069829.csv",INTERNET," "," "," ","participantes_66db7d44-ffbd-4694-86e1-fcdf23c093b4.csv",NÃO," ",2025-11-21T08:00:00Z,"Lei 14133/2021, Art. 75, XV",32000,32000
"FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",2025,2025,37,2025-11-12,"Contratação de serviços de gerenciamento de manutenção preditiva, preventiva e corretiva de frotas de veículos automotores e equipamentos, incluindo pneus, óleos lubrificantes e lavação, em uma ampla rede credenciada de oficinas, autopeças ou concessionárias, no modelo de autogestão, vedada a cobrança de taxas secundárias, mensalidades e similares da rede credenciada, conforme especificações constantes do Termo de Referência e de acordo com tabela de preços registrados","Prestação de serviços",2025-11-11,37,HOMOLOGADO,"adesao_36f660f0-95bb-4f02-ad4c-c61eb0cbe5ff.csv"," "," ","contratos_1eb7676e-e8c6-432a-b191-7b24058a259d.csv"," "," ",2025-11-11,," "," ","documentosRelacionados_262ce116-bbc3-42d5-ac8b-e37c54e7d672.csv",saude@criciuma.sc.gov.br," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Adesão à ata de registro de preços"," ","itensVencedores_551c5e9d-4b26-4d21-ba6d-e3af8a48a7ec.csv",INTERNET," "," "," ","participantes_8bf2426f-7ef8-4b96-b4f9-905c7cdf8dd0.csv",NÃO," "," ","Lei 14133/2021, Art. 86, §2º",700000,700000
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,190,2025-12-11,"Contratação de empresa especializada em fornecimento de sistema tecnológico completo e integrado, contemplando implantação, treinamento, manutenção e locação de plataforma para gestão de obras públicas em Criciúma/SC.","Contratação de Tecnologia da informação e de Comunicação",2025-12-11,190,HOMOLOGADO," "," "," "," ",2025-12-11T08:00:00Z," ",2025-10-22,2025-12-11," "," ","documentosRelacionados_576a299e-06fa-4eb6-abe8-cabfb6a9b829.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-12-11T08:00:00Z,"itensVencedores_40a32d0c-0504-4c0c-8f9f-6f0d83006534.csv",INTERNET," "," "," ","participantes_6910c2c3-2bc3-4d8a-9f3e-8e9d817b1875.csv",NÃO," ",2025-12-11T08:00:00Z,"Lei 14133/2021, Art. 75, II",68034.82,68034.82
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,192,2025-12-15,"Aquisição dos livros infantis “A Negrinha do Sorriso Mágico” e “Coração”, ambos bilíngues (português e espanhol), escritos pela autora mirim Maya Alves Silva, para fins pedagógicos nas unidades escolares da rede municipal de ensino.","aquisição de Bens para Compra, inclusive por Encom",2025-12-15,192,HOMOLOGADO," "," "," "," ",2025-12-15T08:00:00Z," ",2025-05-20,2025-12-15," "," ","documentosRelacionados_8f5a997b-1b4e-4ec5-b81e-856d4c81f8b8.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-12-15T08:00:00Z,"itensVencedores_5d0c2a42-d4c2-41c0-a9a9-f4518921ee5e.csv",INTERNET," "," "," ","participantes_c40e0e03-8e53-43a3-863e-e2b9b761a6f3.csv",NÃO," ",2025-12-15T08:00:00Z,"Lei 14133/2021, Art. 75, II",20600,20600
