nomeEntidade,numeroProcesso,anoProcesso,numeroLicitacao,anoLicitacao,dataPublicacao,objeto,modalidade,tipoObjeto,formaJulgamento,dataHomologacao,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",8,2017,8,2017,2017-10-31,"O presente edital tem por objetivo a contratação de empresa especializada para locação de sonorização, iluminação e estrutura para realização do 13º Jogos Abertos Paradesportivos de Santa Catarina - PARAJASC, que será realizado entre os dias 30/11/2017 a 06/12/2017 no município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PREÇO GLOBAL POR LOTE",2017-11-16,Homologado," "," ",Criciúma,"contratos_1ddb5375-e956-43f8-9f07-203f0ceaabbc.csv",2017-11-14T15:30:00Z," ",2017-10-27,2017-11-14," ","despesas_cc473d70-ff84-4e5a-944f-29bbd59b207d.csv","documentosRelacionados_13652b76-ac35-4b1e-b07d-47cfd355869a.csv"," "," "," "," ",SC,Licitação,2017-11-14T08:00:00Z,"itensVencedores_1c35a0f8-5f67-4295-bdce-6ea8e6cef9b2.csv",Internet," "," ","NELI SEHNEM DOS SANTOS","participantes_15e43e62-ae51-43ec-b165-59ffe68fc1e6.csv",NÃO," ",2017-11-14T15:30:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",9,2017,9,2017,2017-11-01,"a contratação de empresa especializada em transporte para equipe de arbitragem durante a realização do 13º Jogos Abertos Paradesportivos de Santa Catarina - PARAJASC, que será realizado entre os dias 30/11/2017 a 06/12/2017.","Pregão presencial","Compras e Serviços","MENOR PRECO GLOBAL",2017-11-21,Homologado," "," ",Criciúma,"contratos_4f42e2d4-65f8-4c2d-852e-2a354c79292c.csv",2017-11-20T08:00:00Z," ",2017-11-01,2017-11-20," ","despesas_39b373d9-60b8-4239-b7bf-f38ea4f2fa59.csv","documentosRelacionados_5abbdcf5-db70-4728-a2b6-0caa9b591703.csv"," "," "," "," ",SC,Licitação,2017-11-20T08:00:00Z,"itensVencedores_94b85443-266c-46f4-859d-db5b74e1967b.csv","Mural Público"," "," ","NELI SEHNEM DOS SANTOS","participantes_8679151e-c091-46ac-8e3c-6e31930fa744.csv",NÃO," ",2017-11-20T15:00:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",1,2017,1,2017,2017-07-04,"A contratação de prestador de serviços para assessoria, consultoria, orientação em direito administrativo e defensoria jurídica na FUNDAÇÃO MUNICIPAL DE ESPORTES de Criciúma/SC",Convite,"Compras e Serviços","MENOR PRECO POR ITEM",2017-08-14,Homologado," "," ",Criciúma,"contratos_95abe8ab-5552-4d6f-bdd0-211158c7e93e.csv",2017-07-04T15:00:00Z," ",2017-06-19,2017-08-08," ","despesas_4caa903b-f6e9-4e56-a167-79e1315b6c90.csv","documentosRelacionados_30c3b7a8-ae1c-4888-9b2b-79349b4bdf7c.csv"," "," "," "," ",SC,Licitação,2017-07-04T08:00:00Z,"itensVencedores_292e9f8b-518c-42e8-9fe2-5054e916dab8.csv","Mural Público"," "," ","NELI SEHNEM DOS SANTOS","participantes_f5929e70-0ce9-4065-8eb6-41d629387947.csv",NÃO," ",2017-07-04T14:45:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",6,2017,6,2017,2017-09-25,"Constitui objeto do presente a contratação de empresa especializada em recargas de créditos eletrônicos no sistema de bilhetagem eletrônica do sistema integrado de transporte coletivo de Criciúma (Cartão - Criciúmacard), que serão distribuídos aos atletas de diversas modalidades esportivas dentro do Município de Criciúma/SC.","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO GLOBAL",2017-09-22,Homologado," "," ",Criciúma,"contratos_c890712e-f155-4f0a-bf91-51fba2414996.csv",2017-09-15T00:00:00Z," ",2017-09-14," "," ","despesas_cfa0c023-87da-45ad-8d3a-9d8dd0330f3f.csv","documentosRelacionados_1784fcb4-7338-4e0c-88f8-feb7d186d8c9.csv"," "," "," "," ",SC,Licitação,2017-09-15T00:00:00Z,"itensVencedores_fe4ec18b-f6ca-412f-930a-f12bf952b170.csv",Internet," "," ","NELI SEHNEM DOS SANTOS","participantes_3694b338-787d-4a37-aa1f-0d07a67dee62.csv",NÃO," ",2017-09-15T00:00:00Z," "," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",25,2017,25,2017,2017-03-22,"Registro de preços de materiais de atendimento pré-hospitalar e combate, para aquisições futuras, no atendimento ao 4º Batalhão de Bombeiro Militar do Município de Criciúma /SC., de acordo com Convênio 001/BM.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2017-05-08,HOMOLOGADO," ","atasRegistroPrecos_49321cf6-ac23-466c-9d5b-6b2091657a27.csv"," "," ",2017-04-04T09:01:00Z," ",2017-03-21,2017-04-04," ","despesas_0af2e7bb-c962-433f-9aaa-4117f8e24e25.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2017-04-04T07:00:00Z,"itensVencedores_3428edf0-6af1-4a76-a1ab-ec185efeef52.csv",INTERNET,,," ","participantes_ff00dc82-22ed-4588-99f2-c55e3d2deae9.csv",SIM," ",2017-04-04T09:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",27,2017,27,2017,2017-03-22,"Contratação de empresa do ramo pertinente, para execução por demanda, durante o exercicio de 2017, de serviços de cópias de engenharia e plotagens, com vistas a atender as Secretarias da Administração Municipal de Criciúma/SC.",Convite,"Compras e Serviços","MENOR PRECO GLOBAL",2017-05-02,HOMOLOGADO," "," "," ","contratos_a5946c2e-f286-4816-b61d-5d2b1116fd02.csv",2017-04-05T09:00:00Z," ",2017-03-22,2017-04-05," ","despesas_3c4b3ce0-ec4f-47cb-8635-1cb0d2da8f51.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Convite,2017-04-05T08:00:00Z,"itensVencedores_07d25b1f-6b2c-48bf-84c4-e872c20f811a.csv",MURAL_PUBLICO,,," ","participantes_03d6945a-d5df-45ee-a887-9186921e05dd.csv",NÃO," ",2017-04-05T08:45:00Z,"Lei 8666/1993, Art. 22, III"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",29,2017,29,2017,2017-03-27,"Registro de preços de materiais de pavimentação, para aquisições futuras, no atendimento a recomposição de pavimentação das vias e passeios públicos, objeto de intervenções realizadas pela CASAN para manutenção das redes de abastecimento de água e coleta de esgotos sanitários do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2017-04-25,HOMOLOGADO," ","atasRegistroPrecos_f6f9e166-e136-4265-8b6d-f32d91bcc1b5.csv"," "," ",2017-04-07T14:01:00Z," ",2017-03-24,2017-04-07," ","despesas_aad608ef-b524-4932-9173-368638b11263.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2017-04-07T08:00:00Z,"itensVencedores_e7d28998-b479-4bb9-a25a-63eb454065cf.csv",INTERNET,,," ","participantes_bf353bdc-669f-43ff-acc3-544b8cd60910.csv",SIM," ",2017-04-07T14:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",32,2017,32,2017,2017-03-27,"contratação, através de empresas do ramo pertinente, para execução por demanda, de serviços de instalação, manutenção, remanejamento, montagem e desmontagem de estruturas divisórias, instalação de painéis de vidro e persianas em alumínio, com aplicação de todo o material e  acessórios, a fim de atender as necessidades nos prédios públicos municipais.",Convite,"Compras e Serviços","MENOR PRECO GLOBAL",2017-05-03,HOMOLOGADO," "," "," ","contratos_65699b85-4a29-49c7-aa43-836c1f9654c8.csv",2017-04-10T15:00:00Z," ",2017-03-27,2017-04-10," ","despesas_0c21e0ca-6fdd-4420-a440-32ece6a361a5.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Convite,2017-04-10T08:00:00Z,"itensVencedores_b41592af-c719-46bb-8030-2d0b6c13878e.csv",MURAL_PUBLICO,,," ","participantes_56e06b3b-26c1-4eb7-a99a-33bcd527caa1.csv",NÃO," ",2017-04-10T14:45:00Z,"Lei 8666/1993, Art. 22, III"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",33,2017,33,2017,2017-03-27,"Contratação de empresa para execução por demanda, de serviços de manutenção, conserto e assistência técnica de geladeiras/freezer (lote 01) e fogão (lote 02) com fornecimento de peças, pertencentes e de responsabilidade dos órgãos administrados pela Secretaria Municipal de Educação",Convite,"Compras e Serviços","MENOR PRECO GLOBAL",2017-05-05,HOMOLOGADO," "," "," ","contratos_10c1dc7b-7348-4d3b-ab44-f738d320f735.csv",2017-04-18T15:00:00Z," ",2017-03-27,2017-04-18," ","despesas_3325fc53-44bf-4906-9b3f-5d885b6c47e5.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Convite,2017-04-18T08:00:00Z,"itensVencedores_4dab779a-efaa-436a-97ef-af9eca2b9f91.csv",MURAL_PUBLICO,,," ","participantes_2c8dfef1-ea03-4884-b591-b301c6437a26.csv",NÃO," ",2017-04-18T14:45:00Z,"Lei 8666/1993, Art. 22, III"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",34,2017,34,2017,2017-03-27,"Contratação de empresa para efetuar, a manutenção demini carregadeira da marca CATTERPILLAR 246 BOBCAT, nº 436 pertencente a frotado município de Criciúma/SC",Convite,"Contratação de serviços","MENOR PRECO GLOBAL",2017-04-27,HOMOLOGADO," "," "," ","contratos_ea5e3103-d016-4689-bd6e-adfe3542609a.csv",2017-04-13T10:00:00Z," ",2017-03-27,2017-04-13," ","despesas_964ec1ab-8694-43b2-91e6-33bdd74cee67.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Convite,2017-04-13T08:00:00Z,"itensVencedores_5d8a1fc7-5cf4-4192-8598-d2fc4f21825d.csv",MURAL_PUBLICO,,," ","participantes_1e4046dd-a8d9-434f-8e0c-fcd1dcf83175.csv",NÃO," ",2017-04-13T09:45:00Z,"Lei 8666/1993, Art. 22, III"," "," "
