nomeEntidade,numeroProcesso,anoProcesso,numeroLicitacao,anoLicitacao,dataPublicacao,objeto,modalidade,tipoObjeto,formaJulgamento,dataHomologacao,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",2,2021,2,2021,2021-02-12,"Recargas de créditos eletrônicos no sistema de bilhetagem eletrônica do sistema integrado de transporte coletivo de Criciúma (Cartão - Criciúmacard), que serão distribuídos aos atletas de diversas modalidades esportivas dentro do Município de Criciúma/SC","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO",2021-02-15,Homologado," "," ",Criciúma,"contratos_2b397d35-217e-44b5-82b5-1853dfdf1ae8.csv",2021-02-12T08:00:00Z," ",2021-02-12," "," ","despesas_0efc34e5-a5ef-4a4e-9774-4c0bd0554252.csv","documentosRelacionados_7e628648-4dbb-4a1f-94bc-ec223c3e22a3.csv"," "," "," "," ",SC,Licitação,2021-02-12T08:00:00Z,"itensVencedores_7708b590-510e-47a3-8d81-0c5274910050.csv",Internet," "," ","NELI SEHNEM DOS SANTOS","participantes_4db9a06e-d645-4f85-9d3e-888f13aa6282.csv",NÃO," ",2021-02-12T08:00:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",4,2021,4,2021,2021-08-12,"O presente edital tem por objetivo a contratação de empresa especializada, para o fornecimento de refeições (café, almoço, lanche e janta), a serem servidas para os atletas, comissão técnica e demais funcionários, quando da participação em campeonatos, em atendimento a Fundação Municipal de Esportes do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO GLOBAL",2021-08-26,Homologado," "," ",Criciúma," ",2021-08-26T09:00:00Z," ",2021-08-12,2021-08-26," ","despesas_700ed0b7-b3c5-4587-9700-4b4eb25064bb.csv","documentosRelacionados_2a37813a-ca3b-4d66-a0bf-65c5870a3154.csv"," "," "," "," ",SC,Licitação,2021-08-26T08:00:00Z,"itensVencedores_7c6015e6-4501-4f81-aab3-ab6aa880e5b6.csv",Internet," "," ","NELI SEHNEM DOS SANTOS","participantes_e5b416f5-64ec-48b8-9933-b8fa8081f735.csv",NÃO," ",2021-08-26T09:00:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",5,2021,5,2021,2021-10-08,"O presente edital tem por objetivo a contratação de empresa especializada, para locação de conjunto de banheiros químicos (4 banheiros) para instalação no Parque Prefeito Altair Guidi, em atendimento a Fundação M de Esportes do município de Criciúma/SC.","Pregão presencial","Locação (Obrigações)","MENOR PRECO GLOBAL",2021-10-18,HOMOLOGADO," "," "," ","contratos_62f5f63a-4790-45a9-bc15-98cbe632b957.csv",2021-10-15T10:30:00Z," ",2021-10-08,2021-10-15," "," ","documentosRelacionados_9457da8f-5faf-4654-a37f-bd57816bd638.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Pregão presencial",2021-10-08T10:00:00Z,"itensVencedores_f850e929-e0f6-4aea-83df-c3a29249fdc8.csv",DIARIO_OFICIAL_MUNICIPIO,,," ","participantes_93625332-255f-4d8b-a860-28ea5f898971.csv",NÃO," ",2021-10-15T10:30:00Z,"Lei 10520/2002, Art. 37, XXI"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",7,2021,7,2021,2021-12-22,"Aquisição de materiais e artigos esportivos, de viagem, academia, uniformes e passeio, para uso nas atividades de treinamento, iniciação esportiva e competições, desenvolvidas ou com participação da Fundação Municipal de Esportes de Criciúma.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2022-01-12,HOMOLOGADO," "," "," ","contratos_860afb29-9449-4181-ac50-7b6ec72c148f.csv",2022-01-10T09:00:00Z," ",2021-11-05,2022-01-10," "," ","documentosRelacionados_bd0a8f73-b68b-47f3-8508-81f219922c9c.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Pregão presencial",2021-12-23T08:00:00Z,"itensVencedores_eeefbb86-bc89-4ecf-9904-d39639d2b957.csv",MURAL_PUBLICO,,," ","participantes_2221efa5-8d87-4055-a6e6-c9698057b091.csv",NÃO," ",2022-01-10T09:00:00Z,"Lei 10520/2002, Art. 37, XXI"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",6,2021,6,2021," ","Inexigibilidade de licitação, para contratação da empresa DC10 Economia Criativa Eireli, detentora da marca Skate Total Urbe (STU), para realização do evento STU NATIONAL - Etapa Santa Catarina 2022 nas modalidades olímpicas de skate park e street, que acontecerá entre os dias 13 e 23 de janeiro de 2022, no Parque Centenário - Prefeito Altair Guidi, no município de Criciúma/SC.","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO",2021-12-10,HOMOLOGADO," "," "," ","contratos_548f0f7a-1a93-4927-a449-a9db804ccf7d.csv",2021-11-25T08:00:00Z," ",2021-11-25,2021-11-25," "," ","documentosRelacionados_d2f64797-e4bf-4d83-8169-a9e04b335c3e.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Inexigibilidade de licitação",2021-11-25T08:00:00Z,"itensVencedores_3bfeabb4-8bba-405e-936d-9afca1af6511.csv"," ",,," ","participantes_8e3a370a-e1b7-4264-8b8d-379bab9491a1.csv",NÃO," ",2021-11-25T08:00:00Z,"Lei 8666/1993, Art. 25, I"," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",1,2021,1,2021,2021-01-04,"Contratação, na modalidade de Inexigibilidade de licitação, da empresa DC10 Economia Criativa Eireli, detentora da marca Skate Total Urbe (STU), para realização do evento STU National 2021 nas modalidades olímpicas de skate Park e Street a ser realizado no Parque Centenário Prefeito Altair Guidi, Rua Domênico Sonego, bairro Santa Bárbara no Município de Criciúma.","Inexigibilidade de licitação","Compras e Serviços","MENOR PRECO",2021-01-04,HOMOLOGADO," "," "," ","contratos_4ecd2888-8c4b-40e2-81ae-36e61be2814e.csv",2021-01-04T08:01:00Z," ",2021-01-04,2021-01-04," ","despesas_bd934582-add7-4bdc-956a-4051987812ad.csv","documentosRelacionados_f6a0fdb9-8897-4b15-bf8d-78c96cce64f4.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Inexigibilidade de licitação",2021-01-04T08:00:00Z,"itensVencedores_8c8c46d3-1f8f-46b3-9edb-fa92c14fa46c.csv",INTERNET,,," ","participantes_fbf8c951-5f24-4c10-acbe-e5d0614f4701.csv",NÃO," ",2021-01-04T08:00:00Z,," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",3,2021,3,2021,2021-07-19,"O presente edital tem por objetivo a aquisição de capas e colchões para utilização da Fundação Municipal de Esportes de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2021-08-12,HOMOLOGADO," "," "," ","contratos_9f44ab70-d2cd-4b5c-b00a-dc955a40f721.csv",2021-08-09T09:01:00Z," ",2021-07-19,2021-08-09," ","despesas_fa442f96-e443-4c8f-87fe-23727cb9de9d.csv"," ",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Pregão presencial",2021-08-09T08:00:00Z,"itensVencedores_2d7b5fab-1489-48c4-86eb-97c4eca07497.csv",INTERNET,,," ","participantes_cb257690-55c0-4347-b4e9-342abb57ff23.csv",NÃO," ",2021-08-09T09:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",397,2021,397,2021,2021-12-23,"Aquisição de óleo e filtros (incluindo a troca) através de empresas do ramo, para reposição e manutenção de veículos leves, caminhões e ônibus que compõem a frota oficial do Município de Criciúma - SC.","Pregão presencial","Compras e Serviços","MAIOR DESCONTO SOBRE TABELA",2022-01-17,HOMOLOGADO," ","atasRegistroPrecos_be16f600-6f7d-4427-a8b3-3297e9013eea.csv"," "," ",2022-01-13T09:00:00Z," ",2021-12-15,2022-01-13," ","despesas_07668567-6314-45e7-aebb-a8b0ffe35573.csv","documentosRelacionados_32eb8449-f6ac-4c7e-bbfc-c884a53dbb85.csv","tributos@criciuma.sc.gov.br","empenhos_3b8aab1a-1531-44d8-9300-b3922cbbe181.csv","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2021-12-23T08:00:00Z,"itensVencedores_c9c721d4-954c-4907-848e-ddd82c5d7808.csv",INTERNET,,," ","participantes_e18fe036-5521-411f-bc7f-f4472d79348e.csv",SIM," ",2022-01-13T09:00:00Z,"Lei 10520/2002, Art. 37, XXI"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",3,2021,2,2021,2022-01-07,"Contratação de empresa do ramo pertinente para execução dos serviços necessários à realização das obras de construção de uma cancha de bocha no Parque dos Imigrantes  com 834,03m² de área, localizado no Distrito de Rio Maina,  Município de Criciúma-SC. (REPASSE CAIXA ECONOMICA FEDERAL Nº 862994)","Tomada de preços","Obras e Serviços de Engenharia","MENOR PRECO GLOBAL"," ",REVOGADO," "," "," "," ",2022-02-01T09:00:00Z," ",2021-12-10,2022-02-01,2022-02-01," ","documentosRelacionados_f7fd2adf-7e1b-461a-9cae-2a16f0fd522d.csv","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Tomada de preços",2021-12-10T08:00:00Z," ",INTERNET,"Licitação deserta","Licitação deserta"," "," ",NÃO," ",2022-02-01T09:00:00Z,"Lei 8666/1993, Art. 22, II"," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",367,2021,367,2021,2022-01-31,"O presente edital tem por objetivo o registro de preços de equipamentos de informática, necessários para atendimento das demandas da 6º CIRETRAN, do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2021-12-17,HOMOLOGADO," ","atasRegistroPrecos_4dbf39e1-e4c9-442f-88e3-2a1b25ee8f6f.csv"," "," ",2021-12-14T14:00:00Z," ",2021-11-30,2021-12-14," ","despesas_5233b443-7cd1-43c4-ae10-55707ef24d38.csv","documentosRelacionados_e114f516-4737-419b-97db-86e2977acc4f.csv","tributos@criciuma.sc.gov.br","empenhos_eefea2b8-ab6c-4772-ab4f-c8c35605e84b.csv","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2021-12-02T08:00:00Z,"itensVencedores_bc32fd38-30b7-40cb-bbfd-4779018ac434.csv",INTERNET,,," ","participantes_a958f927-ee0c-420e-adbb-20b8154ae7e7.csv",SIM," ",2021-12-14T14:00:00Z,"Lei 10520/2002, Art. 37, XXI"," "," "
