ano_dados,tipo_arquivo,header_hash,qtd_arquivos,qtd_colunas,encoding_mais_comum,colunas_json,tipos_inferidos_json
2015,atasRegistroPrecos,3696ad2c3d11de9cc04fc9b6e248144766f47380,82,6,utf-8,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}"
2015,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,254,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""empty"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2015,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,327,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""numeric_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2015,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,7,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""datetime_like"", ""descricao"": ""text"", ""numero"": ""datetime_like"", ""tipo"": ""text""}"
2015,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,280,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2015,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,1282,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""boolean_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""empty"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2015,itensVencedores,2792913a4a995909915a703ec1d01ce042bcaa4f,332,11,utf-8,"[""cnpjCpfVencedor"", ""codigo"", ""descricao"", ""numero"", ""participanteVencedor"", ""quantidade"", ""unidadeMedida"", ""valorTotalReferencia"", ""valorTotalVencedor"", ""valorUnitarioReferencia"", ""valorUnitarioVencedor""]","{""cnpjCpfVencedor"": ""text"", ""codigo"": ""numeric_like"", ""descricao"": ""text"", ""numero"": ""numeric_like"", ""participanteVencedor"": ""text"", ""quantidade"": ""boolean_like"", ""unidadeMedida"": ""text"", ""valorTotalReferencia"": ""numeric_like"", ""valorTotalVencedor"": ""numeric_like"", ""valorUnitarioReferencia"": ""numeric_like"", ""valorUnitarioVencedor"": ""numeric_like""}"
2015,participantes,318522d848048b2df8a33f81eae4c47393ecf12e,334,8,utf-8,"[""cnpjCpfFornecedor"", ""formaParticipacao"", ""idFornecedor"", ""itensProposta"", ""nomeFonecedor"", ""representanteCertame"", ""responsavelFornecedor"", ""socios""]","{""cnpjCpfFornecedor"": ""text"", ""formaParticipacao"": ""text"", ""idFornecedor"": ""empty"", ""itensProposta"": ""text"", ""nomeFonecedor"": ""text"", ""representanteCertame"": ""text"", ""responsavelFornecedor"": ""text"", ""socios"": ""empty""}"
2015,processos_licitatorios,daf77f10be0ce2313c626b33b4fa2e1206811cae,1,42,utf-8,"[""nomeEntidade"", ""numeroProcesso"", ""anoProcesso"", ""numeroLicitacao"", ""anoLicitacao"", ""dataPublicacao"", ""objeto"", ""modalidade"", ""tipoObjeto"", ""formaJulgamento"", ""dataHomologacao"", ""situacao"", ""adesao"", ""atasRegistroPrecos"", ""cidadeCertame"", ""contratos"", ""dataAberturaEnvelopes"", ""dataAnulacao"", ""dataCriacao"", ""dataJulgamento"", ""dataRevogacao"", ""despesas"", ""documentosRelacionados"", ""emailContato"", ""empenhos"", ""enderecoCertame"", ""enderecoEntrega"", ""estadoCertame"", ""formaContratacao"", ""inicioRecebimentoEnvelopes"", ""itensVencedores"", ""meioDivulgacao"", ""motivoAnulacao"", ""motivoRevogacao"", ""nomeContato"", ""participantes"", ""registroPrecos"", ""telefoneContato"", ""terminoRecebimentoEnvelopes"", ""fundamentoLegal"", ""valorEstimado"", ""valorHomologado""]","{""nomeEntidade"": ""text"", ""numeroProcesso"": ""numeric_like"", ""anoProcesso"": ""numeric_like"", ""numeroLicitacao"": ""numeric_like"", ""anoLicitacao"": ""numeric_like"", ""dataPublicacao"": ""datetime_like"", ""objeto"": ""text"", ""modalidade"": ""text"", ""tipoObjeto"": ""text"", ""formaJulgamento"": ""text"", ""dataHomologacao"": ""datetime_like"", ""situacao"": ""text"", ""adesao"": ""empty"", ""atasRegistroPrecos"": ""text"", ""cidadeCertame"": ""text"", ""contratos"": ""text"", ""dataAberturaEnvelopes"": ""datetime_like"", ""dataAnulacao"": ""empty"", ""dataCriacao"": ""datetime_like"", ""dataJulgamento"": ""datetime_like"", ""dataRevogacao"": ""empty"", ""despesas"": ""text"", ""documentosRelacionados"": ""text"", ""emailContato"": ""text"", ""empenhos"": ""empty"", ""enderecoCertame"": ""text"", ""enderecoEntrega"": ""text"", ""estadoCertame"": ""text"", ""formaContratacao"": ""text"", ""inicioRecebimentoEnvelopes"": ""datetime_like"", ""itensVencedores"": ""text"", ""meioDivulgacao"": ""text"", ""motivoAnulacao"": ""empty"", ""motivoRevogacao"": ""empty"", ""nomeContato"": ""text"", ""participantes"": ""text"", ""registroPrecos"": ""boolean_like"", ""telefoneContato"": ""empty"", ""terminoRecebimentoEnvelopes"": ""datetime_like"", ""fundamentoLegal"": ""text"", ""valorEstimado"": ""numeric_like"", ""valorHomologado"": ""numeric_like""}"
2016,atasRegistroPrecos,3696ad2c3d11de9cc04fc9b6e248144766f47380,91,6,utf-8,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}"
2016,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,207,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""empty"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2016,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,292,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""boolean_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2016,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,9,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""datetime_like"", ""descricao"": ""text"", ""numero"": ""datetime_like"", ""tipo"": ""text""}"
2016,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,267,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2016,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,975,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2016,itensVencedores,2792913a4a995909915a703ec1d01ce042bcaa4f,301,11,utf-8,"[""cnpjCpfVencedor"", ""codigo"", ""descricao"", ""numero"", ""participanteVencedor"", ""quantidade"", ""unidadeMedida"", ""valorTotalReferencia"", ""valorTotalVencedor"", ""valorUnitarioReferencia"", ""valorUnitarioVencedor""]","{""cnpjCpfVencedor"": ""text"", ""codigo"": ""numeric_like"", ""descricao"": ""text"", ""numero"": ""numeric_like"", ""participanteVencedor"": ""text"", ""quantidade"": ""numeric_like"", ""unidadeMedida"": ""text"", ""valorTotalReferencia"": ""numeric_like"", ""valorTotalVencedor"": ""numeric_like"", ""valorUnitarioReferencia"": ""numeric_like"", ""valorUnitarioVencedor"": ""numeric_like""}"
2016,participantes,318522d848048b2df8a33f81eae4c47393ecf12e,302,8,utf-8,"[""cnpjCpfFornecedor"", ""formaParticipacao"", ""idFornecedor"", ""itensProposta"", ""nomeFonecedor"", ""representanteCertame"", ""responsavelFornecedor"", ""socios""]","{""cnpjCpfFornecedor"": ""text"", ""formaParticipacao"": ""text"", ""idFornecedor"": ""empty"", ""itensProposta"": ""text"", ""nomeFonecedor"": ""text"", ""representanteCertame"": ""text"", ""responsavelFornecedor"": ""text"", ""socios"": ""empty""}"
2016,processos_licitatorios,daf77f10be0ce2313c626b33b4fa2e1206811cae,1,42,utf-8,"[""nomeEntidade"", ""numeroProcesso"", ""anoProcesso"", ""numeroLicitacao"", ""anoLicitacao"", ""dataPublicacao"", ""objeto"", ""modalidade"", ""tipoObjeto"", ""formaJulgamento"", ""dataHomologacao"", ""situacao"", ""adesao"", ""atasRegistroPrecos"", ""cidadeCertame"", ""contratos"", ""dataAberturaEnvelopes"", ""dataAnulacao"", ""dataCriacao"", ""dataJulgamento"", ""dataRevogacao"", ""despesas"", ""documentosRelacionados"", ""emailContato"", ""empenhos"", ""enderecoCertame"", ""enderecoEntrega"", ""estadoCertame"", ""formaContratacao"", ""inicioRecebimentoEnvelopes"", ""itensVencedores"", ""meioDivulgacao"", ""motivoAnulacao"", ""motivoRevogacao"", ""nomeContato"", ""participantes"", ""registroPrecos"", ""telefoneContato"", ""terminoRecebimentoEnvelopes"", ""fundamentoLegal"", ""valorEstimado"", ""valorHomologado""]","{""nomeEntidade"": ""text"", ""numeroProcesso"": ""numeric_like"", ""anoProcesso"": ""numeric_like"", ""numeroLicitacao"": ""numeric_like"", ""anoLicitacao"": ""numeric_like"", ""dataPublicacao"": ""datetime_like"", ""objeto"": ""text"", ""modalidade"": ""text"", ""tipoObjeto"": ""text"", ""formaJulgamento"": ""text"", ""dataHomologacao"": ""datetime_like"", ""situacao"": ""text"", ""adesao"": ""empty"", ""atasRegistroPrecos"": ""text"", ""cidadeCertame"": ""text"", ""contratos"": ""text"", ""dataAberturaEnvelopes"": ""datetime_like"", ""dataAnulacao"": ""empty"", ""dataCriacao"": ""datetime_like"", ""dataJulgamento"": ""datetime_like"", ""dataRevogacao"": ""datetime_like"", ""despesas"": ""text"", ""documentosRelacionados"": ""text"", ""emailContato"": ""text"", ""empenhos"": ""empty"", ""enderecoCertame"": ""text"", ""enderecoEntrega"": ""text"", ""estadoCertame"": ""text"", ""formaContratacao"": ""text"", ""inicioRecebimentoEnvelopes"": ""datetime_like"", ""itensVencedores"": ""text"", ""meioDivulgacao"": ""text"", ""motivoAnulacao"": ""text"", ""motivoRevogacao"": ""text"", ""nomeContato"": ""text"", ""participantes"": ""text"", ""registroPrecos"": ""boolean_like"", ""telefoneContato"": ""empty"", ""terminoRecebimentoEnvelopes"": ""datetime_like"", ""fundamentoLegal"": ""text"", ""valorEstimado"": ""numeric_like"", ""valorHomologado"": ""numeric_like""}"
2017,atasRegistroPrecos,3696ad2c3d11de9cc04fc9b6e248144766f47380,93,6,utf-8,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}"
2017,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,192,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""empty"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2017,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,277,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""boolean_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2017,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,4,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""datetime_like"", ""descricao"": ""text"", ""numero"": ""datetime_like"", ""tipo"": ""text""}"
2017,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,247,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2017,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,867,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""boolean_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
